Country,UnemplWB2016,MonopolyForce,SVS2014,RegimeTypes2017,PrivPR2016,SocialSafetyNets,YouthRiskFactor2010,MeanYrsSchooling2015,LifeExpect2016,DscrmViolMin2016,GovFrameGE2015,GDP2017,Latitude,Longitude,Population,country,iso3c
Czech Republic,3.950000048,10,3,4,75,10,0.234415621,12.3,78.82912,3.8,3,35512.40,49.817492,15.472962,10566332,Czech Republic,CZE
D R Congo,3.691999912,2,5,1,10,1,0.574599862,6.1,59.84722,9.5,4,789.95,-4.038333,21.758664,78736153,"Congo, Dem. Rep.",COD
Denmark,6.179999828,,1,4,95,,0.232477158,12.7,80.58478,3.6,0,49883.03,56.26392,9.501785,5728010,Denmark,DNK
Djibouti,5.836999893,,3,3,25,,0.552602768,4.1,63.53905,6.6,4,3559.42,11.825138,42.590275,942333,Djibouti,DJI
Dominican Republic,5.489999771,9,3,4,25,4,0.41479215,7.7,73.88087,5.8,2,16944.15,18.735693,-70.162651,10648791,Dominican Republic,DOM
East Timor,3.365999937,,2,,20,,,4.4,68.33028,6.5,3,5444.12,-8.874217,125.727539,1268671,Timor-Leste,TLS
Ecuador,4.599999905,8,4,4,15,5,0.407718122,8.3,76.1766,7.8,1,11482.22,-1.831239,-78.183406,16385068,Ecuador,ECU
Egypt,12.40999985,7,5,1,20,3,0.565258384,7.1,70.93819,8.7,4,12670.76,26.820553,30.802498,95688681,"Egypt, Arab Rep.",EGY
El Salvador,4.420000076,6,3,4,35,6,0.478718013,6.5,73.52263,6.3,3,8948.21,13.794185,-88.89653,6344722,El Salvador,SLV
Equatorial Guinea,6.193999767,,2,1,10,,0.339462161,5.5,58.15444,,1,36017.38,1.650801,10.267895,1221490,Equatorial Guinea,GNQ
Eritrea,6.452000141,6,2,1,10,2,0.435931504,3.9,64.71303,,3,1581.32,15.179384,39.782334,4474690,Eritrea,ERI
Estonia,6.760000229,10,2,4,90,9,0.256565422,12.5,77.55537,6.5,2,31749.52,58.595272,25.013607,1315790,Estonia,EST
Ethiopia,5.092999935,7,4,1,30,5,0.420018703,2.6,64.80106,8.5,5,2160.80,9.145,40.489673,102403196,Ethiopia,ETH
Fiji,6.237999916,,2,3,30,,0.432370991,10.5,69.85863,,3,9777.22,-16.578193,179.414413,898760,Fiji,FJI
Finland,8.819999695,,1,4,90,,0.241711348,11.2,81.07519,1.6,0,44332.60,61.92411,25.748151,5495303,Finland,FIN
France,10.06000042,,3,4,80,,0.266158313,11.6,82.42604,6.8,3,43760.77,46.227638,2.213749,66859768,France,FRA
Gabon,19.81900024,,2,3,40,,0.535561979,8.1,65.97317,3.7,1,19254.03,-0.803689,11.609444,1979786,Gabon,GAB
Gambia,9.43200016,,4,1,25,,0.500095189,3.3,61.08887,3.7,1,1712.99,13.443182,-15.310139,2038501,"Gambia, The",GMB
Georgia,11.76000023,5,2,4,40,5,0.297457993,12.2,74.37203,7.8,0,10747.05,42.315407,43.356892,3719300,Georgia,GEO
Germany,4.119999886,,3,,90,,0.216908678,13.2,81.04001,4.6,1,50425.15,51.165691,10.451526,82348669,Germany,DEU
Ghana,2.25999999,8,4,4,50,5,0.497179866,6.9,62.43842,4.6,2,4729.49,7.946527,-1.023194,28206728,Ghana,GHA
Greece,23.54000092,,3,4,40,,0.209323928,10.5,80.97888,5,1,27737.03,39.074208,21.824312,10775971,Greece,GRC
Guatemala,2.829999924,4,4,4,20,4,0.526242256,6.3,71.8885,7.9,2,8144.84,15.783471,-90.230759,16582469,Guatemala,GTM
Guinea,4.510000229,8,4,1,20,3,0.48507905,2.6,59.00079,8.7,2,2040.59,9.945587,-9.696645,12395924,Guinea,GIN
Guinea-Bissau,6.144999981,,3,4,20,,0.486572266,2.9,58.87255,5.7,1,1844.78,11.803749,-15.180413,1815698,Guinea-Bissau,GNB
Guyana,11.8579998,,2,4,30,,0.491481483,8.4,66.16611,6.5,2,8161.20,4.860416,-58.93018,773303,Guyana,GUY
Haiti,14.00199986,2,4,4,10,3,0.4896411,5.2,63.48582,6.7,2,1814.65,18.971187,-72.285215,10847334,Haiti,HTI
Honduras,4.670000076,6,4,2,30,4,0.568109155,6.2,74.64007,6.4,2,5561.52,15.199999,-86.241905,9112867,Honduras,HND
Hungary,5.110000134,10,3,4,45,8,0.287392795,12,75.84985,4.7,0,29473.66,47.162494,19.503304,9814023,Hungary,HUN
Iceland,2.980000019,,1,4,90,,0.243216872,12.2,82.65011,1.3,0,51841.53,64.963051,-19.020835,335439,Iceland,ISL
India,3.505000114,7,5,2,55,5,0.455062628,6.3,68.3093,8.3,5,7182.80,20.593684,78.96288,1324171354,India,IND
Indonesia,4.119999886,8,4,4,30,6,0.358133703,7.9,69.12795,7.3,5,12377.49,-0.789275,113.921327,261115456,Indonesia,IDN
Iran,12.43000031,9,4,1,10,4,0.695407808,8.8,75.53753,8.5,6,20199.59,32.427908,53.688046,80277428,"Iran, Islamic Rep.",IRN
Iraq,7.959000111,4,5,1,,3,0.794878542,6.6,68.91406,10,5,16953.89,33.223191,43.679291,37202572,Iraq,IRQ
Ireland,7.889999866,,1,4,90,,0.278541625,12.3,81.42297,1.9,2,75538.36,53.41291,-8.24389,4755335,Ireland,IRL
Israel,4.800000191,,3,4,75,,0.367061496,12.8,82.54373,9.7,5,36340.08,31.046051,34.851612,8546000,Israel,ISR
Italy,11.68999958,,3,4,50,,0.244370088,10.9,82.6886,4.9,4,38140.34,41.87194,12.56738,60627498,Italy,ITA
Jamaica,13.18999958,8,3,4,40,5,0.498023719,9.6,76.20069,3.9,3,9162.63,18.109581,-77.297508,2881355,Jamaica,JAM
Japan,3.130000114,,3,4,80,,0.190180108,12.5,83.68437,4.2,1,42831.52,36.204824,138.252924,126994511,Japan,JPN
Jordan,15.27499962,7,3,1,60,5,0.841756761,10.1,74.14027,7.7,4,12494.37,30.585164,36.238414,9455802,Jordan,JOR
Kazakhstan,4.960000038,9,3,1,30,6,0.370949298,11.7,70.23928,7,2,26252.07,48.019573,66.923684,17794055,Kazakhstan,KAZ
Kenya,11.52000046,6,5,3,30,3,0.525144279,6.3,63.37301,9,4,3491.12,-0.023559,37.906193,48461567,Kenya,KEN
Kosovo,,,2,,30,,,,,,4,,42.602636,20.902977,1816200,Kosovo,XKX
Kuwait,2.107000113,10,2,3,45,7,0.294656336,7.3,74.68137,4.7,5,66162.89,29.31166,47.481766,4052584,Kuwait,KWT
Kyrgyzstan,7.210000038,7,4,1,20,5,0.461691976,10.8,71.0643,8.4,0,3667.45,41.20438,74.766098,6079500,Kyrgyz Republic,KGZ
Laos,0.661000013,9,3,1,15,3,0.426512152,5.2,65.66512,6.3,3,7365.89,19.85627,102.495496,6758353,Lao PDR,LAO
Latvia,9.640000343,10,1,4,50,7,0.274947435,11.7,74.5575,7.4,2,27644.14,56.879635,24.603189,1959537,Latvia,LVA
Lebanon,6.228000164,3,4,1,20,4,0.532875061,8.6,74.88087,8.6,4,19439.13,33.854721,35.862285,6006668,Lebanon,LBN
Lesotho,27.78199959,7,3,4,30,3,0.459277421,6.1,53.66637,4.4,5,3581.29,-29.609988,28.233608,2203821,Lesotho,LSO
Liberia,2.338000059,8,4,4,25,3,0.478475988,4.4,61.36433,6.2,3,1353.83,6.428055,-9.429499,4613823,Liberia,LBR
Libya,18.42300034,4,5,1,10,7,0.504667401,7.3,72.7449,7.8,6,9986.27,26.3351,17.228331,6293253,Libya,LBY
Lithuania,7.860000134,10,2,4,65,7,0.31788975,12.7,73.62749,4.3,0,32298.86,55.169438,23.881275,2868231,Lithuania,LTU
Luxembourg,6.289999962,,1,4,90,,0.256817669,12,81.9538,3.1,1,106373.78,49.815273,6.129583,582014,Luxembourg,LUX
Macedonia,23.71999931,9,2,4,35,7,0.325624973,9.4,75.66389,7,0,14914.25,41.608635,21.745275,2081206,,MKD
Madagascar,1.796000004,7,4,1,45,3,0.419552565,6.1,65.48159,4.6,1,1551.23,-18.766947,46.869107,24894551,Madagascar,MDG
Malawi,5.984000206,9,4,4,40,3,0.472275674,4.4,58.28283,5.4,2,1167.18,-13.254308,34.301525,18091575,Malawi,MWI
Malaysia,3.440000057,10,3,3,55,7,0.414438337,10.1,74.96998,6.2,5,29040.84,4.210484,101.975766,31187265,Malaysia,MYS
Maldives,5.027999878,,2,4,25,,0.670673907,6.2,78.49393,,4,19150.66,3.202778,73.22068,427756,Maldives,MDV
Mali,7.813000202,3,5,,25,3,0.611269176,2.3,58.24785,7.6,2,2170.08,17.570692,-3.996166,17994837,Mali,MLI
Malta,4.699999809,,1,4,70,,0.302938223,11.3,81.73468,3.9,3,41944.78,35.937496,14.375416,455356,Malta,MLT
Mauritania,10.1239996,7,4,1,25,4,0.575866222,4.3,63.13477,6.9,5,4444.35,21.00789,-10.940835,4301018,Mauritania,MRT
Mauritius,7.300000191,10,2,4,60,8,0.344202429,9.1,74.62331,3.8,5,21640.31,-20.348404,57.552152,1263473,Mauritius,MUS
Mexico,3.880000114,5,5,4,50,6,0.420304984,8.6,76.70921,6.4,0,19902.78,23.634501,-102.552784,127540423,Mexico,MEX
Moldova,4.179999828,7,3,4,40,4,0.53178674,11.9,72.10248,6.5,0,5660.67,47.411631,28.369885,3551954,Moldova,MDA
Mongolia,7.239999771,9,3,4,30,5,0.543489516,9.8,68.80138,4.3,0,12978.56,46.862496,103.846656,3027398,Mongolia,MNG
Montenegro,17.71999931,10,3,,40,7,,11.3,76.12364,7.3,0,17735.70,42.708678,19.37439,622303,Montenegro,MNE
Morocco,9.399999619,8,3,1,40,4,0.527935028,5,74.33389,7.1,4,8566.85,31.791702,-7.09262,35276786,Morocco,MAR
